age,year,sex,N,NE,SE,S,CO
80,1960,male,NA,18335,17000,4795,1645
81,1960,male,NA,2685,4345,1470,275
82,1960,male,NA,3845,5310,1835,330
83,1960,male,NA,3200,4065,1585,260
84,1960,male,NA,3040,4130,1475,225
85,1960,male,NA,4455,4800,1480,385
86,1960,male,NA,2430,3145,1095,280
87,1960,male,NA,1225,1990,685,155
88,1960,male,NA,1820,2250,715,145
89,1960,male,NA,1045,1515,490,65
90,1960,male,NA,3170,3050,775,245
91,1960,male,NA,430,550,220,35
92,1960,male,NA,405,700,265,60
93,1960,male,NA,470,480,185,35
94,1960,male,NA,365,460,120,30
95,1960,male,NA,870,755,210,45
96,1960,male,NA,385,495,165,50
97,1960,male,NA,235,250,85,5
98,1960,male,NA,545,445,140,70
99,1960,male,NA,310,335,70,20
100,1960,male,NA,1525,1695,490,215
80,1970,male,1334,20301,19969,6422,1781
81,1970,male,650,6008,9699,3519,515
82,1970,male,828,7427,10214,3688,707
83,1970,male,326,4429,6446,2427,460
84,1970,male,383,4175,6152,2322,453
85,1970,male,436,5989,5891,2284,523
86,1970,male,298,3381,4105,1618,421
87,1970,male,155,2287,2692,1132,227
88,1970,male,248,2485,2955,1174,194
89,1970,male,188,1450,2049,812,197
90,1970,male,275,3400,3419,1107,305
91,1970,male,54,497,809,350,69
92,1970,male,60,678,859,358,101
93,1970,male,51,620,766,276,90
94,1970,male,21,402,549,187,53
95,1970,male,49,723,752,253,82
96,1970,male,38,518,467,124,35
97,1970,male,29,232,363,94,32
98,1970,male,52,468,474,158,50
99,1970,male,193,1580,1856,912,303
100,1970,male,NA,NA,NA,NA,NA
80,1980,male,1806,20327,26124,8626,2416
81,1980,male,442,8543,12842,4496,806
82,1980,male,603,8781,11975,4320,961
83,1980,male,470,6929,10224,3501,759
84,1980,male,466,6621,9268,2896,683
85,1980,male,425,6359,7769,2492,605
86,1980,male,324,4697,6203,1916,507
87,1980,male,242,3203,4687,1557,382
88,1980,male,222,3191,3814,1312,409
89,1980,male,146,2213,2517,870,243
90,1980,male,170,3164,2908,1028,325
91,1980,male,138,1522,2104,565,186
92,1980,male,89,1662,1422,415,169
93,1980,male,44,765,1000,271,96
94,1980,male,47,665,671,261,66
95,1980,male,79,712,657,207,86
96,1980,male,68,521,413,204,67
97,1980,male,43,265,252,48,60
98,1980,male,29,369,351,138,53
99,1980,male,32,284,255,96,20
100,1980,male,133,1228,1143,625,239
80,1991,male,4200.1,31920.7,35604.5,12363.5,3684.3
81,1991,male,2858.3,22981.2,26408.8,9129,3140.4
82,1991,male,2304.8,16386.9,21635,7509.3,2350
83,1991,male,1782.6,15683.4,18664.4,6246.5,2141
84,1991,male,1779.5,15086.7,16834.8,5729,1868.1
85,1991,male,1432.8,12817.3,14680.1,4437.1,1385.9
86,1991,male,1120.3,10407.6,11759.6,3801.3,1257.7
87,1991,male,833.8,7928.5,8696.8,3102.9,884.9
88,1991,male,812.1,6203.7,7409.4,2661.8,752
89,1991,male,746.3,5117,5832.9,1886.1,562.1
90,1991,male,612.2,5265.7,5031.2,1344.2,645.5
91,1991,male,384.1,2688.4,3556.6,1104.4,248.7
92,1991,male,206.6,1752.9,1968.1,554,126.9
93,1991,male,85.5,1191.9,1127.6,392.2,66.8
94,1991,male,63.7,888.4,1108.9,191.5,97.7
95,1991,male,93.9,804.9,661.2,248.8,89
96,1991,male,21.7,690.7,580.6,241,90.2
97,1991,male,56.2,443.5,411.7,171.7,85.4
98,1991,male,20.1,349.9,423.2,145.4,30.6
99,1991,male,15,317.3,601.9,232.3,42.4
100,1991,male,359.9,1364.3,1400.7,429.6,340.3
80,2000,male,6114.2,40387.6,47626.2,16991.1,5977.6
81,2000,male,3930.9,31280.5,36562.9,12445,4665.9
82,2000,male,4369.1,30043.5,35403,12081.4,4329.2
83,2000,male,3426.6,24355.4,29114.5,9478.6,3349.4
84,2000,male,3184.8,22514.5,26225.6,8368.2,3443.7
85,2000,male,3300.4,22100.9,22931.4,7695.3,2900.2
86,2000,male,2602,17579,19069.2,6473.9,2357.5
87,2000,male,2135.8,14516.8,15426.9,4922.3,1917.9
88,2000,male,1945,12612.6,12096.6,4027.2,1645
89,2000,male,1293.8,9613.2,9927.8,2882.7,1310.9
90,2000,male,1039,8495.4,7956.3,2472.6,1087.9
91,2000,male,524.1,4429.5,5124.8,1651.8,741.6
92,2000,male,509.1,4115.1,3971.2,1294.7,431.2
93,2000,male,412.4,4152.8,3346.6,841.7,379.7
94,2000,male,404.6,3082.6,2491.4,712.4,413.8
95,2000,male,213.7,2285.8,1654.8,555,337.6
96,2000,male,107.2,1717,1262.1,364.3,199.7
97,2000,male,242.2,1030.1,1071.1,297.9,160.5
98,2000,male,189.7,983.4,619.9,303.9,181.8
99,2000,male,91.2,712.3,480.9,201.1,64.3
100,2000,male,298.9,1060.8,997.4,359.2,231.9
80,2010,male,10496.6,51587.1,82792.2,26406,10361.5
81,2010,male,7348.6,37633.2,63757.7,21688.4,7797.6
82,2010,male,7084.7,37341.6,58648.9,19876.7,7914.5
83,2010,male,6046.4,34682.8,50990.7,17110.1,6636.3
84,2010,male,4864,31577.2,44059.2,13525.8,5841.5
85,2010,male,4191.8,29409.1,37838.5,11402.7,5173.8
86,2010,male,3633.9,25397.2,31268.8,9992.7,3880.4
87,2010,male,3228.9,19844.9,24807.6,7538.1,3459.3
88,2010,male,2794.7,17818.4,20618.7,6591.6,2984.8
89,2010,male,2587,13889.7,16223.1,5026.2,1908.2
90,2010,male,2268.4,13664.6,14488.1,4361.5,2147
91,2010,male,1492.1,9523.7,10620,3051.4,1374.7
92,2010,male,1249,8414.2,7597.7,2460.5,1285.6
93,2010,male,1054.8,6662.4,5795.6,1912,976.5
94,2010,male,883,5237.2,4564.7,1183.4,854.6
95,2010,male,676.7,4218.2,3544.1,996.8,430.8
96,2010,male,548.1,3458.7,2382.5,648.9,536
97,2010,male,347.6,2438.6,1593.7,438.9,415
98,2010,male,383.2,1847,1415.2,323.4,220.1
99,2010,male,293.4,1406.3,953,290.4,188.6
100,2010,male,642,3069.9,1983.5,761.8,529.6
80,1960,female,NA,27145,23320,6280,1920
81,1960,female,NA,2695,4355,1625,190
82,1960,female,NA,4910,6590,2460,330
83,1960,female,NA,4340,4720,1710,230
84,1960,female,NA,3540,5165,1920,255
85,1960,female,NA,6610,6555,2190,485
86,1960,female,NA,3265,4150,1460,260
87,1960,female,NA,2035,2760,975,150
88,1960,female,NA,2330,2850,1155,190
89,1960,female,NA,1450,2015,770,120
90,1960,female,NA,6665,5275,1400,485
91,1960,female,NA,640,660,260,20
92,1960,female,NA,905,1025,330,60
93,1960,female,NA,845,635,235,25
94,1960,female,NA,545,635,250,35
95,1960,female,NA,1610,1225,340,130
96,1960,female,NA,750,775,280,60
97,1960,female,NA,405,425,145,35
98,1960,female,NA,810,720,255,65
99,1960,female,NA,515,375,145,25
100,1960,female,NA,2700,2980,860,255
80,1970,female,2249,30793,29869,8506,2395
81,1970,female,560,5863,11751,3933,465
82,1970,female,831,8974,13574,4218,709
83,1970,female,371,4684,8409,2894,405
84,1970,female,511,5099,8517,3106,436
85,1970,female,648,8963,10429,3322,639
86,1970,female,437,4226,6486,2135,399
87,1970,female,233,2691,4743,1485,177
88,1970,female,305,3015,4774,1705,354
89,1970,female,211,2159,3422,1170,175
90,1970,female,557,7030,6700,1870,692
91,1970,female,60,813,1299,411,60
92,1970,female,86,1149,1590,529,87
93,1970,female,58,925,1275,404,43
94,1970,female,35,752,970,319,56
95,1970,female,166,1546,1412,513,147
96,1970,female,122,812,937,279,101
97,1970,female,39,414,575,192,52
98,1970,female,92,866,912,282,99
99,1970,female,391,3868,3717,1587,411
100,1970,female,NA,NA,NA,NA,NA
80,1980,female,2554,27771,38988,11861,2709
81,1980,female,687,8593,17051,5152,745
82,1980,female,758,9461,17935,5536,845
83,1980,female,653,7829,15032,4698,771
84,1980,female,680,7649,14354,4516,798
85,1980,female,742,8683,12318,3798,757
86,1980,female,540,5662,10350,2992,516
87,1980,female,430,4313,7712,2454,406
88,1980,female,405,4261,6983,2136,516
89,1980,female,363,3131,5297,1582,296
90,1980,female,456,6488,6773,1736,518
91,1980,female,210,2275,3759,972,191
92,1980,female,142,2368,3071,792,170
93,1980,female,81,1266,1950,566,114
94,1980,female,65,1139,1612,463,93
95,1980,female,169,1678,1635,417,94
96,1980,female,79,1048,988,324,98
97,1980,female,39,584,824,238,45
98,1980,female,105,1015,943,279,123
99,1980,female,41,645,486,178,59
100,1980,female,287,2689,2838,1056,440
80,1991,female,4670.2,40049.1,53235.6,15864.8,4557.2
81,1991,female,4139.6,26338.7,41539.5,13615.3,3143.4
82,1991,female,2659.6,18294.5,32337,10508.7,2447.8
83,1991,female,2179.1,17790.6,28777.3,8710.7,1980.5
84,1991,female,2430.2,18253,28667.8,8445.3,2141.1
85,1991,female,2101.9,18522.1,24215.1,6863.6,1726.5
86,1991,female,1639.5,15049.6,20126.3,6248.7,1483.2
87,1991,female,1414.7,11494.1,16049.6,5669,1218.7
88,1991,female,1138.6,9175.8,12984,4245.5,1056
89,1991,female,912.1,7581.5,10504.4,3738,788.5
90,1991,female,927.2,9521,10410.5,3154.4,778.9
91,1991,female,384.2,4064.7,7195.6,2119.1,446.3
92,1991,female,234.3,2500.4,3632.3,1151.9,246.6
93,1991,female,137.9,1879.5,3147.8,802.5,161.6
94,1991,female,190.5,1498.8,2311.4,654.8,122.6
95,1991,female,187.1,1376.3,1888.4,767,149.3
96,1991,female,90.9,1281.6,1555.1,487.6,89.9
97,1991,female,96.8,816.8,1016.8,367.8,79.1
98,1991,female,139.4,943.6,1054.4,303.3,54.6
99,1991,female,100.8,570.3,1026.7,354.7,61.3
100,1991,female,548.7,3918.2,4207.3,1511.7,403.7
80,2000,female,6529.1,51583.7,73508.4,24936.6,7420.6
81,2000,female,4537.1,35871.1,56382.8,18375.6,4698.6
82,2000,female,4990.2,34711.1,56017.1,18018.4,4552
83,2000,female,4554.4,28993.8,47871.6,16381.3,4127.9
84,2000,female,4074.2,28676.4,43866.9,14323.1,3692.5
85,2000,female,3846.2,27756.5,39559,12660.7,3510.5
86,2000,female,3045.3,22644.5,34127,10932.5,3000.1
87,2000,female,2697.6,18845.6,28721.1,9598.2,2528
88,2000,female,2495.5,15922.3,23544.7,6976.4,2203.7
89,2000,female,1801.9,12880.7,19697.8,6422.8,1650.1
90,2000,female,1730,12656,16065.7,4427.7,1451.2
91,2000,female,985.4,6838.2,10680.3,2847.6,827.7
92,2000,female,731.1,6076.8,8789.5,2974.8,892.4
93,2000,female,714.5,5843.2,7580.1,2186.6,604.5
94,2000,female,786,5336.8,6079.8,1696.4,470
95,2000,female,451.2,4249.1,4466.8,1181.6,572
96,2000,female,455.1,2887.8,3352.9,957.4,333.6
97,2000,female,259.9,1928.8,2595.6,613.5,141.3
98,2000,female,320.5,1794,1856.5,501.3,222.2
99,2000,female,242.4,1227.8,1256.6,400.8,268
100,2000,female,1730.8,7468.3,9574.5,2600.9,1466.5
80,2010,female,11814.8,71396.8,129226.9,41107.5,12520.1
81,2010,female,7863.9,51871.1,103175.7,33471.4,8621.4
82,2010,female,7596.8,51384.6,96160,30541.7,8192.1
83,2010,female,6240,47061.8,85219.2,27708,8193
84,2010,female,6093,44506.8,74831.7,23537.7,7210
85,2010,female,5984.5,38964.9,65112,20611.5,5124.2
86,2010,female,4547,33971.8,55663,17081.8,5037
87,2010,female,3856.5,27648.9,48997.5,15193.9,4705.8
88,2010,female,3185.4,23320.5,39764.4,13354.3,3448.6
89,2010,female,2552.4,20505.4,33009,10797.5,2899.8
90,2010,female,3300.2,20755,28010.4,9711.9,2994.2
91,2010,female,1757.5,14496.8,21104.7,6373.7,1797.3
92,2010,female,1661.6,12347,17938.3,5016.3,1762.6
93,2010,female,1785.7,9927.1,14536.8,4123.6,1565.4
94,2010,female,1411.5,8051.8,12293.9,3137,994
95,2010,female,1111.8,7286.1,8984.6,2614.2,1034.8
96,2010,female,1066.4,5518.8,6497.9,2140.7,810.2
97,2010,female,797.5,4597,5542.3,1314,447.4
98,2010,female,741.4,3243.2,4003,1052.1,337.6
99,2010,female,508.3,2739.4,2956.1,774.8,321.1
100,2010,female,1132.6,7035.8,5403.9,1420.8,697.2
